Candidate,Education,PC_CODE
Das Girishbhai Manubhai,Graduate Professional,16
Das K Varkala,10th Pass,19
Dasari Bharath Reddy,Graduate Professional,7
Dasari Venkata Nagesh,Graduate Professional,29
Dashmat Soren,10th Pass,5
Dashrath Gagrai,Graduate,10
Dashrath Kumar,Doctorate,8
Dashrath Misrilal Devda,5th Pass,7
Dasrath Tirkey,Graduate,2
"Dass, D.",10th Pass,7
Datla Nageshwar Rao,Graduate,16
Dattaram Desai,Post Graduate,1
Dattatraya Vitthal Thorat,8th Pass,42
Daud Ahmad,Literate,29
Dausingh Maravi,Graduate,5
Davendra Prasad Yadav,Graduate,7
David Horo,10th Pass,14
Davinder Kumar,12th Pass,2
Davinder Kumar Verma,8th Pass,6
Davinder Singh,10th Pass,5
Davinder Singh,12th Pass,5
Daya Das Lahre,8th Pass,5
Daya Ram Nishad,Post Graduate,63
Daya Shanker,8th Pass,40
Dayamani Barla,Post Graduate,11
Dayanand G. Narvekar,Graduate Professional,1
Dayanand Guruputrayya Chikkamath,Graduate,2
Dayanidhi Maran,Graduate,4
Deba Kumar Barman,Others,8
Debajyoti Sengupta,Graduate,24
Debashis Marndi,Doctorate,5
Debasree Chaudhuri,Post Graduate,39
Debendra Kumar Mallik,Graduate Professional,8
Debes Adhikari,Post Graduate,10
Debesh Das,Graduate Professional,14
Deendayal,Doctorate,75
Deepa Dasmunsi,Post Graduate,5
Deepak Adhikari (Dev),10th Pass,32
Deepak Digambar Shinde,Post Graduate,28
Deepak Gaur,12th Pass,10
Deepak Karma,Graduate,10
Deepak Kumar,12th Pass,3
Deepak Kumar,8th Pass,6
Deepak Kumar,8th Pass,15
Deepak Kumar,12th Pass,27
Deepak Kumar,10th Pass,5
Deepak Kumar Bansal Rangwale (Prerak),Graduate,3
Deepak Kumar.B,Graduate,8
Deepak Narang,10th Pass,3
Deepak Natharam Paigude,12th Pass,34
Deepak Rajesh Coelho,Graduate,17
Deepak Shukla,Graduate,1
Deepak. C,Graduate,2
Deepaksingh Trymbakrao Deshmukh,10th Pass,8
Deepali Sayyad,Graduate,37
Deepender Singh,Post Graduate,7
Deepinder Singh Dhillon,Graduate Professional,13
Degala Surya Narayana,Others,40
Degda Pravinbhai Meghajibhai,Illiterate,10
Deivasigamani.K,10th Pass,21
Delkar Mohanbhai Sanjibhai,Graduate,1
Denis Siangshai,Graduate,1
Densil Mendez,10th Pass,12
Deol Hema Malini Dharmendra,Doctorate,17
Deora Milind Murli,Graduate,31
Deoraj Singh Patel,Post Graduate,10
Deorao Monba Nannaware,Graduate Professional,12
Deore Mahendra Trambak,Graduate,2
Deotale Sanjay Wamanrao,Graduate Professional,13
Desai Ishwarbhai Mahadevbhai,Literate,3
Desai Khodabhai Laljibhai,5th Pass,6
Desai Naishadhbhai Bhupatbhai,Graduate Professional,24
Desai Rajendra Daulat,8th Pass,31
Deshmukh Balasaheb Desai,Not Given,15
Deshmukh Iqbal A. Rehman,5th Pass,3
Deshmukh Jaideep Rajendra,Post Graduate,8
Deshmukh Somanath,10th Pass,36
Deshmukh Somnath,12th Pass,37
Deshmukh Vikas Nanasaheb,12th Pass,37
Deshpande Prashanth,Post Graduate,12
Dev Kumar Choudhary,Graduate Professional,38
Dev Kumar Verma,12th Pass,31
Dev Prasad Kelkar,10th Pass,9
Dev Raj Bhardwaj,Others,3
Devadasa Sundaram,Graduate,38
Devadass. R,Graduate Professional,14
Devadoss.A.R,10th Pass,38
Devaki. G,Post Graduate,29
Devanand,Graduate,15
Devaraj. G,Graduate Professional,2
Devchand Dhruw,8th Pass,10
Devender,12th Pass,5
Devendra Chaourasia,Graduate,7
Devendra Kumar Agrval,Graduate Professional,1
Devendra Kumar Sharma,Post Graduate,43
Devendra Kumar Urf Gudda Bhaiyya,10th Pass,17
Devendra Rakesh,Post Graduate,15
Devendra Singh Urf Bhole Singh,10th Pass,44
Devi,Literate,79
Devi Prasad Nand,10th Pass,77
Devi Prasanna Besra,Graduate,5
Devi Singh,Post Graduate,4
Devinder Dev,12th Pass,2
Devinder Kumar Sehrawat,Post Graduate,7
Devji Gangaram Asole,Graduate Professional,15
Devji Patel,10th Pass,18
Devkate Somanath Alias Someshwar Chandrakant,5th Pass,43
Devkishan Dehiya,10th Pass,15
Devkule Bibhishan Jagannath,10th Pass,34
Devnarayan Yadav,Post Graduate,8
Devusinh Motisinh Chauhan,10th Pass,17
Dhabe Uttam Maroti,Literate,15
Dhale Padmasheel Ramchandra,Post Graduate,40
Dhan Raj Chauhan,8th Pass,1
Dhanada Kanta Mishra,Doctorate,20
Dhananjay Banerjee,Post Graduate,9
Dhananjay Bhimrao Mahadik,Graduate,47
Dhananjay Kishore,Graduate Professional,38
Dhananjay Rathiya,10th Pass,2
Dhananjay Shamlalji Rajabhoj,Post Graduate,11
Dhananjay Singh,Post Graduate,73
Dhananjaya. H.H,12th Pass,25
Dhananjoy Moitra,Graduate,16
Dhanapalan,Graduate,10
Dhanaraj.R.,Graduate,38
Dhanarasu @ Mathimaharaja,8th Pass,1
Dhandabani.K,10th Pass,22
"Dhandapani, M.",Graduate,8
Dhaneshwar Ram,Graduate,21
Dhani Ram,Illiterate,1
Dhani Ram Khare,5th Pass,5
Dhani Ram Yadav,8th Pass,5
Dhaniram Yaduwanshi,12th Pass,16
Dhanjibhai Laljibhai Ranevadia,Literate,12
Dhanraj Bairwa,5th Pass,10
Dhanraj Gehlot,Graduate,16
Dhansingh Dhurve,Post Graduate,4
Dharam Bhargav,12th Pass,5
Dharam Pal,5th Pass,13
Dharam Pal Balgotra,Others,5
Dharam Singh,10th Pass,8
Dharam Singh,8th Pass,12
Dharambir,Graduate,8
Dharambir S/O Banwari,Illiterate,8
Dharambir Singh,Post Graduate,8
Dharamdas Ahirwar,12th Pass,26
Dharampal,12th Pass,9
Dharampal Dhiman,10th Pass,2
Dharampal Yadav,Graduate,9
Dharamraj,8th Pass,5
Dharamveer Singh,10th Pass,2
Dharanidhar Nayak,Post Graduate,15
Dharaviya Vallabhbhai,5th Pass,12
Dharm Bir S/O Hari Singh,10th Pass,8
Dharm Raj Singh Patel,Post Graduate,51
Dharmalingam.M,8th Pass,16
Dharmandra Yadav,Post Graduate,23
Dharmender,8th Pass,13
Dharmender Singh,Graduate,1
Dharmendra Kumar,10th Pass,24
Dharmendra Pratap Singh,Post Graduate,37
Dharmendra Sahani,12th Pass,22
Dharmendra Wasudeorao Mandlik,Post Graduate,10
Dharmesh Prasad Verma,12th Pass,1
Dharmi Ghunawat,12th Pass,11
Dharminder,Illiterate,4
Dharmjeet Singh Markam,10th Pass,1
Dhas Suresh Ramchandra,Graduate,39
Dhatture Hafizbhai Husain,8th Pass,44
Dhebor Gohain Boruah,Graduate Professional,14
Dheer Singh Bisht,12th Pass,2
Dheeraj Puri,10th Pass,4
Dhevanathan Yadav.T.,Illiterate,38
Dhian Singh Mand,8th Pass,10
Dhimati Vidya Kishor Bhimte,Post Graduate,9
Dhimecha Nareshbhai Nanjibhai,5th Pass,14
Dhiraj Gurjar,Post Graduate,6
Dhiraj Jaidev Gajbhiye,12th Pass,10
Dhirajlal Bhurabhai Aghera,10th Pass,11
Dhirendra Kumar,10th Pass,29
Dhirendra Nath Roy,Graduate,3
Dhote Jambuwantrao Bapurao,10th Pass,14
Dhotre Sanjay Shyamrao,Graduate Professional,6
Dhritiman Roy,8th Pass,3
Dhruv Narayan Karn,10th Pass,6
Dhulappa Gundappa,Graduate Professional,5
Dhurai Raaj Subha,Others,31
Digambar Alias Gabbar Sudam Sakat,5th Pass,48
Digvijay Singh,Post Graduate,13
Dildar Hussain Beg,12th Pass,1
Dileep Kumar Rajak,Graduate,6
Dileep Singh Bhuriya,10th Pass,24
Dileshwar Kamait,Post Graduate,8
Dilip Atmaram Dumada,10th Pass,22
Dilip Bhausaheb Gaikwad,Illiterate,30
Dilip Kumar Hait,Post Graduate,26
Dilip Kumar Koshle,12th Pass,5
Dilip Kumar Mandal,Graduate Professional,21
Dilip Narayan,Others,10
Dilip Paswan,10th Pass,40
Dilip Prabhakar Aloni,Post Graduate,24
Dilip Sarkar,Graduate,3
Dilip Singh,Literate,3
Dilip Varma,Graduate,1
Dilipbhai N. Bhurkud,12th Pass,1
Dillip Kumar Tirkey,Graduate,2
Dilshad Ahmad,Post Graduate,46
Dimple Yadav,Graduate,42
Dina Shankar Singh,12th Pass,15
Dinanath,Graduate,63
Dinanath Manjhi,Graduate,17
Dinanath Ram,10th Pass,21
Dinesh,10th Pass,12
Dinesh,12th Pass,68
Dinesh Babulal Vaghela,Graduate,7
Dinesh Chandra,Post Graduate,53
Dinesh Kashyap,Post Graduate,10
Dinesh Kumar,Doctorate,35
Dinesh Kumar,10th Pass,28
Dinesh Kumar,10th Pass,6
Dinesh Kumar,Post Graduate,63
Dinesh Kumar Gautam,12th Pass,18
Dinesh Kumar Sharma,Graduate Professional,25
Dinesh Kumar Singh Khusro Nikhil,10th Pass,5
Dinesh Lohar,10th Pass,37
Dinesh Mahato,12th Pass,9
Dinesh Mev,5th Pass,15
Dinesh Pal Singh,8th Pass,2
Dinesh Pandurang Pawar,10th Pass,34
Dinesh Phulsing Rathod,10th Pass,29
Dinesh Saini,12th Pass,12
Dinesh Shah,Graduate,26
Dinesh Trivedi,Post Graduate,15
Dineshchandra Yadav,Others,25
Dineshkumar.G,Post Graduate,24
Dinsha Jhavarbhai Patel,10th Pass,17
Dipak Kumar Borah,Post Graduate,10
Dipak Kumar Roy,Post Graduate,1
Dipak Singh,Graduate,8
Dipratna Prabhakarrao Nilangekar,Post Graduate,41
Divakar Dharanikota Sudhakar,Post Graduate,7
Divan Upendr Pratap Singh (Raja Sab),12th Pass,7
Divya Spandana Uruf Ramya,12th Pass,20
Diwakar,12th Pass,2
Diwakar Bairagi,Post Graduate,7
Diwakar Pendam,8th Pass,12
Diwakar Prasad,Graduate,60
Dnyaneshwar Vitthal Amale,Graduate,4
Doctor Mahato,8th Pass,1
Dodda Ram Babu,Literate,17
Doddamani Prasad,Graduate Professional,9
Dola Sen,Graduate,40
Donam Neelakantam,Post Graduate,23
Dongare Milind Kashinath,Graduate Professional,39
Dongre Ashok Namaji,5th Pass,9
Dongre Priya Anil,8th Pass,7
Donka Leelavathi,5th Pass,23
"Doraisamy, A.",8th Pass,20
Doss. R,8th Pass,1
Dr A Chandra Sekhar,Post Graduate,11
Dr Bansidhar Tripathy,Doctorate,19
Dr Bhupesh Prakash Patil,Graduate Professional,2
Dr Dilip Kumar Jaiswal,Doctorate,10
Dr Govind Singh,Graduate Professional,1
Dr Jyoti Bharti,Doctorate,17
Dr Jyoti Mirdha,Graduate Professional,14
Dr Kulamani Nayak,Doctorate,18
Dr Parmar Jivanbhai Gabhabhai,Not Given,8
Dr Punukuri Sadhu Satyanadhan,Graduate Professional,10
Dr Raja Muzaffar Bhat,Graduate,2
Dr Rajesh Alias Ravi Vallyapur,Graduate Professional,4
Dr Rajkumar Sharma,Doctorate,4
Dr Rita Joshi,Doctorate,35
Dr S T Hasan,Post Graduate,6
Dr Safiq Ur Rahman Barq,Graduate,8
Dr Sanjay Kr. Singh,Doctorate,71
Dr Shameem Abidi,Post Graduate,70
Dr Shankar Bidari,Graduate,3
Dr. Abul Hasnat,Post Graduate,21
Dr. Aditya Langthasa,Doctorate,10
Dr. Anil Murmu,Post Graduate,1
Dr. Arun Kr. Sarmah,Doctorate,11
Dr. Arun Kumar,Doctorate,36
Dr. Arvind Kumar Singh,Doctorate,15
Dr. Ashok Kumar,Graduate Professional,23
Dr. Ashok Kumar Singh,Doctorate,28
Dr. Baliram,Doctorate,68
Dr. Balkrishan Bawari,Graduate Professional,1
Dr. Banshilal Mahato,Graduate Professional,4
Dr. Banuprakash.K,Graduate Professional,16
Dr. Bharati Pravin Pawar,Doctorate,20
Dr. Bhola Singh,Graduate,14
Dr. Bimal Kumar Raj,Post Graduate,34
Dr. Binay Kumar Jha,Graduate Professional,7
Dr. C Mohan,Graduate Professional,28
Dr. C.P. Joshi,Doctorate,6
Dr. C.S.Hanumanthappa,Post Graduate,20
Dr. Chandan Sourav Mitra,Post Graduate,28
Dr. Debomoy Sanyal,Post Graduate,4
Dr. Devendra Pandey,Others,24
Dr. Dhai Akshar (Rakesh Sonkar),Graduate,13
Dr. Dhanapati Das,12th Pass,39
Dr. Dhiren Rajak,10th Pass,35
Dr. Dhirendra Kumar Raj,Graduate Professional,14
Dr. Dinesh Parmar,Graduate Professional,1
Dr. Feroz Khan Murtuza Khan,Doctorate,19
Dr. Gajbe Rameshkumar Baburaoji,Post Graduate,12
Dr. Ghone Adesh Yashwant,Graduate Professional,32
Dr. Girija Vyas,Doctorate,21
Dr. Gurumayum Tonsana Sharma,Doctorate,1
Dr. Harsh Vardhan,Post Graduate,1
Dr. Hemlata Jamuna Devi,Post Graduate,25
Dr. Himanshu Singh,Graduate Professional,10
Dr. Ibomcha Singh,Graduate Professional,1
Dr. Irshad,Post Graduate,76
Dr. J. Jayavardhan,Graduate Professional,3
Dr. Janardhan Reddy Nagam,Graduate Professional,11
Dr. Jitendra Singh,Graduate Professional,5
Dr. K.C.Patel,Graduate Professional,26
Dr. Kakali Ghoshdostidar,Graduate Professional,17
Dr. Kambhampati Hari Babu,Doctorate,21
Dr. Kanubhai V. Kalsaria,Graduate Professional,15
Dr. Kapin Ch. Boro,Graduate,2
Dr. Karnail Singh,Doctorate,79
Dr. Kodur Venkatesh,Doctorate,26
Dr. Krishna Chandra Singh Raj,Post Graduate,7
Dr. Kshetra Pal Singh,Graduate Professional,10
Dr. Kumar Vishvas,Doctorate,37
Dr. M.V. Ibraheem,Graduate Professional,6
Dr. Meer Layaq Hussain,Graduate Professional,25
Dr. Mohammad Nabi Hassan,Literate,16
Dr. Mohd. Ayub,Post Graduate,60
Dr. Mortoza Hossain,Graduate Professional,17
Dr. Ms. Suchita Kumar,Post Graduate,30
Dr. Nabhit Kapur,Doctorate,3
Dr. Nafees Ahmad,Graduate Professional,38
Dr. Namdeo Dalluji Usendi,Post Graduate,12
Dr. Narendra Kumar Gupta,Graduate Professional,21
Dr. Narsaiah Boora,Post Graduate,14
Dr. Naseem Chaudhary Alias Dr. Naseem Gujjar,Graduate Professional,11
Dr. Neeraj,Graduate Professional,51
Dr. Nepal Singh,Doctorate,7
Dr. Nepole Raghu Murmu,Doctorate,5
Dr. Om Singh Meena,Post Graduate,6
Dr. Owhal Jitendra Mahadev,Graduate Professional,39
Dr. Palla Rajeshwar Reddy,Doctorate,13
Dr. Pervez Ali Ahmed,Graduate Professional,6
Dr. Pradeep Gadugesh,Graduate Professional,26
Dr. Pradeep Rambhau Nagrale,Graduate Professional,10
Dr. Prakash Shamrao Pawar,Graduate Professional,45
Dr. Pulin Bihari Baske,Graduate Professional,33
Dr. Rabin Naskar,Graduate Professional,19
Dr. Rahul Dipankar,Post Graduate,14
Dr. Rajesh Mahendia,Doctorate,4
Dr. Rakesh Datta Mishra,Post Graduate,30
Dr. Ram Prakash Mahto,Doctorate,11
Dr. Ramesh Subrav Bansode,Graduate,40
Dr. Rameshsingh Solanki,Graduate,28
Dr. Ramshankar Katheria,Doctorate,18
Dr. Rashid Ali,Post Graduate,8
Dr. Sandeep Natthuji Nandeshwar,Post Graduate,9
Dr. Sangam Mishra,Doctorate,65
Dr. Sanjay Jayaswal,Post Graduate,2
Dr. Sanjay Yashwant Aparanti,Post Graduate,32
Dr. Sanjeev Kumar Balyan,Doctorate,3
Dr. Sarup Prasad Ghosh,Doctorate,22
Dr. Satyapal Singh,Doctorate,11
Dr. Satyendra Nath Pandey,Doctorate,60
Dr. Shashi Tharoor,Doctorate,20
Dr. Solanki Kiritbhai Premjibhai,Post Graduate,8
Dr. Somnath Ghosh,Graduate Professional,27
Dr. Sudarshan Lohar,Post Graduate,4
Dr. Suneel Kumar Venigalla,Graduate Professional,5
Dr. Sunilbhau Vishwanathji Narnavre,Not Given,9
Dr. Suraj Mandal,Doctorate,5
Dr. Surendra Kumar Prasad,Post Graduate,32
Dr. Suresh Jatav,Post Graduate,9
Dr. Sushil Indora,Graduate Professional,3
Dr. Swami Vivekanand,Doctorate,25
Dr. Tanmay Sharma,Post Graduate,7
Dr. Tarun Kumar,Graduate Professional,1
Dr. Tarun Mandal,Post Graduate,19
Dr. Thokchom Meinya,Doctorate,1
"Dr. U Ramachandra, M.B.B.S",Graduate Professional,40
Dr. Ulhas Vasudeo Patil,Doctorate,4
Dr. Vijaysinha Diliprao Patil,Graduate Professional,45
Dr. Virendra Kumar,Doctorate,6
Dr. Virendra Singh,Post Graduate,7
Dr. Yudhbir Singh Khyalia,Doctorate,4
Dr.Bhagavanth Rao,Graduate Professional,9
Dr.Bhise Indrakumar Devrao,Graduate Professional,43
Dr.Bhola Pandey,Doctorate,71
Dr.Dharam Vira Gandhi,Graduate Professional,13
Dr.Dharmaiah Vendavetla,Doctorate,3
Dr.Gaddam Vivekanand,Graduate Professional,2
Dr.Ganesan.M,Graduate Professional,38
Dr.Gavit Heena Vaijaykumar,Graduate Professional,1
Dr.Golla Ramaiah,Doctorate,10
Dr.Inderpal,Graduate Professional,2
Dr.Janapati Sarat Babu,Graduate Professional,2
Dr.Jayakumar.K.,Doctorate,37
Dr.Jayaprakash Narayan N,Doctorate,7
Dr.K.P.Yadav,Doctorate,73
Dr.Kohapare Harshawardhan Muneshwar,Graduate Professional,11
Dr.Krishnasamy.K.,Post Graduate,37
Dr.Mahmood Husain Rahmani,Post Graduate,43
Dr.Manda Jagannath,Post Graduate,12
Dr.Meerlayaq Hussain,Graduate Professional,24
Dr.Mubeen Ahmad,Others,3
Dr.Murli Manohar Joshi,Doctorate,43
Dr.N.S.Uday Kumar,Doctorate,8
Dr.N.V.Sudha Kiran,Graduate Professional,7
Dr.Neha Sharma,Doctorate,26
Dr.Nikhil Gupta,Graduate Professional,43
Dr.Om Prakash Ananad,Post Graduate,9
Dr.P. Sravan Kumar Reddy,Graduate Professional,6
Dr.Pramod Ramchandra Gawade,Doctorate,43
Dr.Prashant Tripathi,Graduate Professional,20
Dr.Rajendra Ramkrishna Gawai,Graduate Professional,7
Dr.Sadhan Thirumalaikumar.T.,Graduate Professional,37
Dr.Sanjivan Bind,Graduate,73
Dr.Satish Bhaskarrao Patil,Graduate,3
Dr.Shivnarayan Verma,Graduate Professional,20
Dr.Shrikant Eknath Shinde,Graduate Professional,24
Dr.Sridhar Udupa,Doctorate,13
Dr.Urmila Singh Marko,Graduate,4
Dr.Vijay Kumar,Graduate Professional,56
Dr.Vishwajeet Patangrao Kadam,Doctorate,34
Draupadi Devi,8th Pass,52
Dravyan Uraon,Graduate,1
Drupad Borgohain,Graduate,12
Dubraj Singh Markam,12th Pass,1
Duddukunta Sreedhar Reddy,Graduate,37
Dudhnath Chauhan,10th Pass,70
Dujram Boudh,12th Pass,3
Dulal Rajbanshi,12th Pass,5
Duli Chand,Graduate Professional,5
Duli Chand Kumawat,Graduate,5
Dulichand Meghwal,5th Pass,1
Dungar Mal Puniya,10th Pass,16
Durai Babu. R,8th Pass,2
Duraisamy.A,5th Pass,17
Durg Vijay Yadav,Graduate Professional,69
Durga Munda,8th Pass,8
Durga Prasad Guntu,Graduate,21
Durga Thakur,10th Pass,37
"Durganand Mahavir Nayak,",Post Graduate,14
Durgesh Chandra Gautam,Graduate Professional,15
Durgesh Nandan Singh,Graduate Professional,31
Dushmanta Kumar Giri,Doctorate,7
Dushyant,Post Graduate,25
Dushyant Chautala,Graduate,4
Dusmanta Kar,Graduate Professional,3
Dutt Akashbhai Natwarbhai,Graduate Professional,7
Dutt Priya Sunil,Graduate,29
Dv. Amarsen Baburao Babar,Doctorate,28
Dwarika Prasad,Literate,37
Dwarka Prasad Pahade,12th Pass,16
Dyal Chand,Literate,11
E S Khaja Hussain,10th Pass,8
E. Ahamed,Graduate Professional,6
E. T. Mohammed Basheer,10th Pass,7
E.Salam,5th Pass,25
E.V.K.S. Elangovan,Graduate,18
Easwaran . R,8th Pass,21
Eda Chennaiah,Others,32
Edappally Basheer,Graduate,11
Ediroli Manian G,Post Graduate,11
Eesam Sudhakar,Graduate,16
Elanchezhian.S,Graduate Professional,22
"Elango, D.",8th Pass,7
"Elango, N.",8th Pass,7
"Elango, N.R",Graduate Professional,7
"Elangovan, A.",8th Pass,7
"Elangovan, D.",10th Pass,7
Elia Nagella,Post Graduate,35
Elias Kujur,Graduate Professional,9
Eliash Narjinary,12th Pass,2
Eliya Kati,12th Pass,12
Elizabeth.D,8th Pass,38
Em. Narayanaswamy,Graduate,28
Emani Chandra Sekhar Rao,Graduate,30
Endala Lakshminarayana,Graduate,4
Eng. Sanjay Raghunath Nasare,Graduate Professional,11
Engineear Bhagwat Singh Rajput,Others,18
Engineer Mohammad Irfan,Graduate Professional,6
Entaz Ali,8th Pass,6
"Er. Pravin Gajbhiye \""Dada\""",Graduate Professional,13
Er. Ramfal Mandrey,Post Graduate,5
Er. Shankar Pannu,Others,2
Er. Vijay Kumar Kol,Post Graduate,12
Eraj Beg,8th Pass,30
Eshi Yogesh Yashwant,10th Pass,2
"Eswaran, R.",Illiterate,8
"Eswaran, T.",8th Pass,19
Eswaran.E.R.,Graduate Professional,21
Eswaran.J,12th Pass,24
"Ezhumalai, V",Literate,27
Faggan Singh Kulaste,Post Graduate,14
Fagram,5th Pass,29
Fagu Marandi,Graduate,12
Faiz Ahamad Faizi,8th Pass,64
Faiz Ahmad,Post Graduate,6
"Faizal Ahmad,",Graduate,14
Fakir Chand,8th Pass,3
Falguni Tripura,12th Pass,2
Faqir Chand Kariha,10th Pass,6
Farhat Hasan,10th Pass,9
Farooq Abdullah,Graduate Professional,2
Farooq Khan,5th Pass,7
Faruk Aahammed Bhuyan,Doctorate,7
Faruk Hazarika,5th Pass,10
Fasale Baban Namdev,10th Pass,21
Fatepara Devajibhai Govindbhai,Literate,9
Fathima Alias Bharathi. R,10th Pass,28
Fatte Singh Shyam,Illiterate,4
Fauji Jai Kawar Tyagi Dixit,8th Pass,9
Fayaz Ahamed Alias Mohammad Fayaz Ahamad,8th Pass,14
Fayaz Ahmad Bhat,Graduate,2
Feroz Khan Gazi,12th Pass,16
Feroze Varun Gandhi,Post Graduate,38
Firaj Pathan,12th Pass,13
Firoj Haider,Graduate,8
Firoz Ahmed Siddiqui,8th Pass,28
Firoz Akhtar,Post Graduate,8
Firoz Akhtar,Graduate,71
Foolchandra,5th Pass,39
Foolodevi Netam,12th Pass,11
Fr.Stephen,Post Graduate,20
Francis Lawrence Fernandes,Graduate,29
Fulmani Hembram,8th Pass,11
Furkan Ansari,Graduate,3
G Anojirao,12th Pass,8
G C Patel,Graduate Professional,13
G C Venkataramanappa,5th Pass,27
G Lalitha,Graduate Professional,36
G N Ravi,Others,27
G Nataraja,Others,9
G V Sreerama Reddy,Graduate Professional,27
G. Anandhan,10th Pass,13
G. Balaswamy,Doctorate,34
G. Narayanaswamy (Kapali),10th Pass,25
G. Palani,10th Pass,1
G. Sutha,10th Pass,1
G. Venkatesh Bhovi,10th Pass,26
G.Balasubramanian,12th Pass,23
G.Bojan,8th Pass,14
G.Kannan,Graduate,32
G.M. Siddeshwara,10th Pass,13
G.M.Siddeshi,12th Pass,13
G.Mallesham Goud,Post Graduate,10
G.Maria Joseph Xaviour,Post Graduate,32
G.Mujeeb Hussain,Graduate,41
G.N.Venkatesh,Graduate Professional,28
G.Nagendra,10th Pass,19
G.R.Barua,Post Graduate,10
G.S.Basavaraj,Graduate Professional,19
G.Shanmugam,Others,1
Gabbar Sinh Warkade,8th Pass,29
Gaddala Vinay Kumar,8th Pass,2
Gadde Thyagaraju,Graduate,32
Gadhiya Soyeb Husenbhai,Others,13
Gadkari Nitin Jairam,Graduate Professional,10
Gaffar,Literate,27
Gagan Rastogi,Graduate,1
Gagandeep Kumar,Post Graduate,2
Gaikawad Rajendra Vitthal,12th Pass,14
Gaikwad Abhijeet Kalyanrao,Graduate Professional,20
Gaikwad Bhagwan Madhav,Literate,4
Gaikwad Eknath Mahadeo,10th Pass,30
Gaikwad Mohan Ramrao,Doctorate,10
Gaikwad Ravindra Vishwanath,Post Graduate,40
Gaikwad Sunil Baliram,Doctorate,41
Gaikwad Texas Bhausaheb,Graduate Professional,33
Gaikwad Umaji Pandurang,10th Pass,40
Gajabheemkar Bansilal,10th Pass,6
Gajabinkar Bansilal,12th Pass,7
Gajanan Chandrakant Kirtikar,Graduate,27
Gajanan Pandurang Mane,Not Given,41
Gajendra,Post Graduate,13
Gajendra Kumar,Graduate,30
Gajendra Limbaji Avghade,12th Pass,41
"Gajendran, S.",12th Pass,7
Gajendrasingh Shekhawat,Post Graduate,16
Gajjala Rama Subba Reddy,10th Pass,38
Gajresh Kumar,Graduate,4
Gajula Jakeer Hussain,Graduate,35
Gamar Vadhabhai Radhabhai,12th Pass,2
Gandavarapu Samanya,Doctorate,42
Gandhi Dilipkumar Mansukhlal,10th Pass,37
"Gandhi, P.",Graduate,19
Gandhi.Tvs,Graduate,9
Gandhirajan S,Graduate Professional,22
Gandhiselvan.S,Post Graduate,16
Ganesan S,Graduate Professional,3
Ganesan.S.,Post Graduate,37
Ganesh,5th Pass,6
Ganesh Bag,8th Pass,29
Ganesh Bapurao Patil,5th Pass,9
Ganesh Bhimrao Budhe,12th Pass,30
Ganesh Ji Tripathi,Graduate,51
Ganesh Kumar,10th Pass,23
Ganesh Mukhiya Nishad,12th Pass,25
Ganesh Rajak,12th Pass,18
Ganesh Ram,Post Graduate,18
Ganesh Shaw,Graduate,30
Ganesh Singh,Post Graduate,9
Ganesh Yadav,10th Pass,5
Ganesha,Not Given,18
Ganesha Murthi.A,Graduate,17
"Ganeshkumar, K.",Graduate Professional,20
Ganga Charan,Post Graduate,42
Ganga Singh,10th Pass,45
Ganga Vishnu Prasadq,Graduate Professional,30
"Gangadaran, K.",Not Given,8
Gangadhar Patel,5th Pass,9
Gangadhar S. Badiger,Graduate,11
Gangadhar Sitaram Kalkute,Graduate,39
"Gangadharan, K.",10th Pass,8
Gangaram Pratap,8th Pass,27
Gangaram Sasmal,Graduate,32
Gangesh Kumar Gupta,Post Graduate,37
Gangmumei Kamei,Post Graduate,2
Gannarapu Surender,Post Graduate,15
Ganpat Mahto,12th Pass,7
Gaur Chandra Majumder,Graduate,1
Gaurangbhai Rameshbhai Patel,12th Pass,26
Gaurav,Graduate Professional,4
Gaurav Kumar Ghosh,12th Pass,26
Gaurav Pundir,Post Graduate,1
Gauri Shankar,Doctorate,2
Gaus Mohammed Sheikh Ayyub Sheikh,10th Pass,10
Gautam Bharti,12th Pass,34
Gautam Kouri,10th Pass,32
Gautam Kumar Mahato,10th Pass,7
Gautam Kumar Sarma,Post Graduate,6
Gautam Ramteke,12th Pass,15
Gautam Sarkar,Post Graduate,7
Gautam Shinde,Graduate Professional,19
Gavari Shyam Anant,12th Pass,22
Gavit Manikrao Hodlya,5th Pass,1
Gawali Bhavana Pundlikrao,Graduate,14
Gawde Sukhdev Bhanudas,10th Pass,45
Gayadhar Mallick,10th Pass,8
Gayake Sadashiv Ambadas,Graduate Professional,19
Gaytri Prasad,12th Pass,52
Gazi Atejad,10th Pass,2
Geddam Sampada Rao,Graduate Professional,24
Gedela Krishna Rao,Post Graduate,21
Geeta Arya,8th Pass,34
Geeta Kora,Graduate,10
Geeta Rajput,12th Pass,3
Geeta Rani,5th Pass,11
Geetaram Ramchandra Kadam,12th Pass,36
Geete Anant Gangaram,10th Pass,32
Geetha Shivarajkumar,Graduate,14
George Baker,Others,25
George Mankidiyil,Graduate Professional,20
"George, V.A.",5th Pass,8
Germanus.S,Post Graduate,38
Gh. Nabi Shah,10th Pass,3
Ghanashyam,Post Graduate,77
Ghanshyam,10th Pass,10
Ghanshyam Anuragi,Graduate Professional,45
Ghanshyam Chandel,Graduate,26
