Column1,Candidate,Constituency,Party,CriminalCase,Education,TotalAssets,Liabilities,,,,,,,,
55,Chaudhry Haribhai Parthibhai,Banas Kantha,BJP,0,Graduate,15773564,0,,,,TDP,16,,TDP,16
56,Bhairon Prasad Mishra,Banda,BJP,3,12th Pass,50034910,600000,,,,Yuvajana Sramika Rythu Congress Party,9,,Yuvajana Sramika Rythu Congress Party,9
57,P.C. Mohan,Bangalore Central,BJP,2,12th Pass,475796999,261111285,,,,Grand Total,542,,,
58,D.V. Sadananda Gowda,Bangalore North,BJP,0,Graduate Professional,98888874,37020152,,,,,,,,
59,D.K.Suresh,Bangalore Rural,INC,8,12th Pass,858713138,184854756,,,,,,,,
60,Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,45224706,2883233,,,,,,,,
61,Kapil Krishna Thakur,Bangaon,AITC,0,Graduate,9667890,0,,,,,,,,
62,Jaiprakash Narayan Yadav,Banka,RJD,2,Post Graduate,27846274,791539,,,,,,,,
63,Sreemati Dev Varma (Moon Moon Sen),Bankura,AITC,0,Post Graduate,15314000,1013000,,,,,,,,
64,Kamlesh Paswan,Bansgaon,BJP,0,Graduate,101640625,14568500,,,,,,,,
65,Manshankar Ninama,Banswara,BJP,0,8th Pass,4040285,870146,,,,,,,,
66,Malyadri Sriram,Bapatla,TDP,0,Post Graduate,45359744,0,,,,,,,,
67,Priyanka Singh Rawat,Barabanki,BJP,0,Post Graduate,13175500,1450000,,,,,,,,
68,Supriya Sule,Baramati,NCP,0,Graduate,1139090851,0,,,,,,,,
69,Muzaffar Hussain Baig,Baramula,JKPDP,0,Post Graduate,200707183,11401285,,,,,,,,
70,Dr. Kakali Ghoshdostidar,Barasat,AITC,0,Graduate Professional,31254311,1168220,,,,,,,,
71,Sunil Kumar Mondal,Barddhaman Purba,AITC,0,Graduate Professional,11841000,1420000,,,,,,,,
72,Mamtaz Sanghamita,Barddhaman - Durgapur,AITC,0,Post Graduate,107680000,0,,,,,,,,
73,Parbhubhai Nagarbhai Vasava,Bardoli,BJP,1,Othe,15909957,1353400,,,,,,,,
74,Santosh Gangwar,Bareilly,BJP,0,Graduate Professional,38602862,1777215,,,,,,,,
75,Prabhas Kumar Singh,Bargarh,BJD,0,Doctorate,5786971,670000,,,,,,,,
76,Col. Sona Ram,Barmer,BJP,1,Graduate Professional,174678454,5584331,,,,,,,,
77,Siraj Uddin Ajmal,Barpeta,AIUDF,0,Graduate,670806607,0,,,,,,,,
78,Dinesh Trivedi,Barakpur,AITC,0,Post Graduate,53582340,15661349,,,,,,,,
79,Idris Ali,Basirhat,AITC,9,Graduate Professional,9800277,0,,,,,,,,
80,Dinesh Kashyap,Bastar,BJP,1,Post Graduate,16108199,2191216,,,,,,,,
81,Harish Chandra,Basti,BJP,2,Post Graduate,5350882,860185,,,,,,,,
82,Haimrat Kaur Badal,Bathinda,SAD,0,10th Pass,1081664910,412634299,,,,,,,,
83,Munde Gopinathrao Pandurang,Beed,BJP,3,Graduate Professional,380072890,335729817,,,,,,,,
84,Bhola Singh,Begusarai,BJP,0,Doctorate,25248102,0,,,,,,,,
85,Suresh Angadi,Belgaum,BJP,1,Graduate Professional,417003065,366283849,,,,,,,,
86,B Sreeramulu,Bellary,BJP,8,Graduate,151392844,4050947,,,,,,,,
87,Sidhant Mohapatra,Berhampur.,BJD,0,Graduate,16462430,1183828,,,,,,,,
88,Jyoti Dhurve,Betul,BJP,2,Post Graduate,26232000,1000000,,,,,,,,
89,Virendra Singh,Sant Ravi Das Nagar (Bhadohi),BJP,0,Graduate,11531458,791186,,,,,,,,
90,Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,6730000,2424000,,,,,,,,
91,Shailesh Kumar Urph Bulo Mandal,Bhagalpur,RJD,1,12th Pass,20216734,0,,,,,,,,
92,Nanabhau Falgunrao Patole,Bhandara - Gondiya,BJP,5,Graduate,12738190,0,,,,,,,,
93,Bahadur Singh,Bharatpur,BJP,0,Literate,19142363,1333100,,,,,,,,
94,Mansukhbhai Dhanjibhai Vasava,Bharuch,BJP,0,Post Graduate,6571062,639000,,,,,,,,
95,Shyal Bhartiben Dhirubhai,Bhavnagar,BJP,0,Graduate Professional,7748925,3072058,,,,,,,,
96,Subhash Chandra Baheria,Bhilwara,BJP,0,Graduate,142870042,8665902,,,,,,,,
97,Bhagirath Prasad,Bhind,BJP,0,Doctorate,21240286,3687610,,,,,,,,
98,Kapil Moreshwar Patil,Biwandi,BJP,0,Graduate,363758831,10697367,,,,,,,,
99,Dharambir,Bhiwani - Mahendragarh,BJP,0,Graduate,50057200,4530000,,,,,,,,
100,Dr. Naaiah Boora,Bhongir,T,0,Post Graduate,202983225,13574088,,,,,,,,
101,Alok Sanjar,Bhopal,BJP,0,Graduate Professional,14594066,300000,,,,,,,,
102,"Prasanna Kumar Patasani,",Bhubaneswar,BJD,0,Post Graduate,13557443,9590067,,,,,,,,
103,Bhagwanth,Bidar,BJP,0,Graduate Professional,56559290,16829000,,,,,,,,
104,Ramesh Jigajinagi,Bijapur,BJP,2,Graduate,89429828,5305043,,,,,,,,
105,Kunwar Bhartendra,Bijnor,BJP,2,Post Graduate,24840646,0,,,,,,,,
106,Arjun Ram Meghwal,Bikaner,BJP,0,Post Graduate,18142863,1216408,,,,,,,,
107,Lakhanlal Sau S/O Kalyan Lal Sahu,Bilaspur,BJP,0,Post Graduate,8661133,306357,,,,,,,,
108,Satabdi Roy(Banerjee),Birbhum,AITC,0,Graduate,54972174,5478944,,,,,,,,
109,Saumitra Khan,Bishnupur,AITC,1,12th Pass,1197255,0,,,,,,,,
110,Kalikesh Narayan Singh Deo,Bolangir,BJD,2,Graduate,87955818,24410449,,,,,,,,
111,Anupam Hazra,Bolpur,AITC,0,Doctorate,4866883,0,,,,,,,,
112,Dr. Bhola Singh,Bulandshahr,BJP,0,Graduate,12577537,0,,,,,,,,
113,Jadhav Prataprao Ganpatrao,Buldana,SHS,2,12th Pass,36033147,684092,,,,,,,,
114,Ashwini Kumar Choubey,Buxar,BJP,0,Graduate,22094499,1923552,,,,,,,,
115,Innocent,Chalakudy,IND,0,8th Pass,54474761,1303000,,,,,,,,
116,R. Dhruvanarayana,Chamrajnagar,INC,0,Post Graduate,31519950,2605818,,,,,,,,
117,Mahendra Nath,Chandauli,BJP,0,Doctorate,26489505,1114000,,,,,,,,
118,Smt. Kirron Kher,Chandigarh,BJP,0,Post Graduate,335343871,1886187,,,,,,,,
119,Dr. Hah Vardhan,Chandni Chowk,BJP,2,Post Graduate,28229308,1780492,,,,,,,,
120,Ahir Hansraj Gangaram,Chandrapur,BJP,11,10th Pass,15548000,99500,,,,,,,,
121,Sunil Kumar Singh,Chatra,BJP,0,Post Graduate,174744806,950052,,,,,,,,
122,S.R. Vijayakumar,Chennai Central,AIADMK,0,Graduate Professional,13401510,350483,,,,,,,,
123,Venkatesh Babu .T.G,Chennai North,AIADMK,0,Post Graduate,37038275,804032,,,,,,,,
124,Dr. J. Jayavardhan,Chennai South,AIADMK,0,Graduate Professional,33959072,10981100,,,,,,,,
125,Konda Vishweshwar Reddy,Chevella,T,0,Post Graduate,5286230210,74111133,,,,,,,,
126,Kamal Nath,Chhindwara,INC,0,Graduate,2069080434,51172087,,,,,,,,
127,Rathwa Ramsingbhai Patalbhai,Chhota Udaipur,BJP,0,Post Graduate,39769675,9763903,,,,,,,,
128,M.Chandrakasi,Chidambaram,AIADMK,0,Graduate,7243646,2020472,,,,,,,,
129,M Veerappa Moily,Chikkaballapura,INC,0,Graduate Professional,137366682,39433827,,,,,,,,
130,Prakash Hukkeri,Chikkodi,INC,0,12th Pass,75717628,3635650,,,,,,,,
131,B.N.Chandrappa,Chitradurga,INC,0,Post Graduate,48303759,13800000,,,,,,,,
132,Naramalli Sivaprasad,Chittoor,TDP,0,Graduate Professional,14878003,0,,,,,,,,
133,Chandra Prakash,Chittaurgarh,BJP,0,Graduate,14134693,687284,,,,,,,,
134,Rahul Kaswan,Churu,BJP,0,Graduate,25721266,5386104,,,,,,,,
135,"Nagarajan, P.",Coimbatore,AIADMK,0,Graduate Professional,34306545,2235538,,,,,,,,
136,Renuka Sinha,Koch Bihar,AITC,0,Graduate Professional,13017282,0,,,,,,,,
137,A.Arunmozhithevan,Cuddalore,AIADMK,9,Graduate Professional,15765250,0,,,,,,,,
138,Bhartruhari Mahatab,Cuttack,BJD,0,Post Graduate,88834098,0,,,,,,,,
139,Natubhai G. Patel,Dadra & Nagar Haveli,BJP,5,5th Pass,154760217,62286836,,,,,,,,
140,Bhabhor Jasvantsinh Sumanbhai,Dohad,BJP,0,Graduate Professional,19661231,1741547,,,,,,,,
141,Nalin Kumar Katil,Dakshina Kannada,BJP,1,10th Pass,8789001,1493367,,,,,,,,
142,Patel Lalubhai Babubhai,Daman & Diu,BJP,0,8th Pass,144931238,1234039,,,,,,,,
143,Prahalad Singh Patel,Damoh,BJP,0,Graduate Professional,39586235,12429302,,,,,,,,
144,Kirti Azad,Darbhanga,BJP,4,Graduate,28531267,431860,,,,,,,,
145,Surendrajeet Singh Ahluwalia,Darjiling,BJP,0,Graduate Professional,23377223,443035,,,,,,,,
146,Harish Chandra,Dausa,BJP,0,Graduate,60394789,45000,,,,,,,,
147,G.M. Siddeshwara,Davanagere,BJP,0,10th Pass,232375703,17951455,,,,,,,,
148,Kalraj Mishra,Deoria,BJP,0,Post Graduate,55048193,0,,,,,,,,
149,Manohar Untwal,Dewas,BJP,0,12th Pass,6336490,1448086,,,,,,,,
150,Pashupati Nath Singh,Dhanbad,BJP,1,Graduate,24248150,0,,,,,,,,
151,Savitri Thakur,Dhar,BJP,0,10th Pass,9606464,1582845,,,,,,,,
152,Anbumani Ramadoss,Dharmapuri,PMK,8,Graduate Professional,314378451,41941065,,,,,,,,
153,Pralhad Joshi,Dharwad,BJP,1,Graduate,41979658,6739989,,,,,,,,
154,Rekha,Dhaurahra,BJP,0,12th Pass,10435468,2375000,,,,,,,,
155,Tathagata Satpathy,Dhenkanal,BJD,7,Othe,35434099,0,,,,,,,,
156,Badruddin Ajmal,Dhubri,AIUDF,1,Post Graduate,432748134,0,,,,,,,,
157,Bhamare Subhash Ramrao,Dhule,BJP,0,Post Graduate,125833320,660757,,,,,,,,
158,Abhishek Banerjee,Diamond Harbour,AITC,0,Post Graduate,15199272,0,,,,,,,,
159,Rameshwar Teli,Dibrugarh,BJP,0,10th Pass,977943,0,,,,,,,,
160,Udhaya Kumar .M,Dindigul,AIADMK,0,Post Graduate,27810000,2800000,,,,,,,,
161,Chavan Harishchandra Deoram,Dindori,BJP,1,Graduate,37240147,881137,,,,,,,,
162,Jagdambika Pal,Domriaganj,BJP,0,Post Graduate,17822082,4981555,,,,,,,,
163,Saugata Roy,Dum Dum,AITC,0,Post Graduate,19452011,2500000,,,,,,,,
164,Shibu Soren,Dumka,JMM,0,10th Pass,46760684,1479721,,,,,,,,
165,Tamradwaj Sahu,Durg,INC,0,12th Pass,21002226,1777720,,,,,,,,
166,Mahesh Giri,East Delhi,BJP,1,10th Pass,5216375,400000,,,,,,,,
167,Venkateswara Rao Maganti,Eluru,TDP,2,10th Pass,129394729,55294433,,,,,,,,
168,K.V. Thomas,Ernakulam,INC,0,Post Graduate,11848550,522352,,,,,,,,
169,Selvakumara Chinnayan S,Erode,AIADMK,0,Post Graduate,47459708,0,,,,,,,,
170,Rajvir Singh,Etah,BJP,0,Graduate Professional,251921157,46898091,,,,,,,,
171,Ashok Kumar Doharey,Etawah,BJP,0,Graduate,12252688,0,,,,,,,,
172,Lallu Singh,Faizabad,BJP,1,Post Graduate,15127861,3640964,,,,,,,,
173,Krishan Pal,Faridabad,BJP,0,Graduate Professional,296440144,19707475,,,,,,,,
174,Prof. Sadhu Singh,Faridkot,AAP,0,Post Graduate,5879516,70000,,,,,,,,
175,Mukesh Rajput,Farrukhabad,BJP,0,Graduate,26178100,151603,,,,,,,,
176,Harinder Singh Khalsa,Fatehgarh Sahib,AAP,0,Post Graduate,35588128,6700000,,,,,,,,
177,Sadhavi Niranjan Jyoti,Fatehpur,BJP,1,12th Pass,3763779,176616,,,,,,,,
178,Babulal,Fatehpur Sikri,BJP,3,12th Pass,73028848,16390000,,,,,,,,
179,Akshay Yadav,Firozabad,SP,0,Graduate,100883304,59377,,,,,,,,
180,Sher Singh Ghubaya,Firozpur,SAD,0,10th Pass,96121057,5133876,,,,,,,,
181,Ashok Mahadeorao Nete,Garhchiroli - Chimur,BJP,0,12th Pass,12125676,5830550,,,,,,,,
182,Lal Krishna Advani,Gandhinagar,BJP,1,Graduate Professional,75915276,0,,,,,,,,
183,Nihalchand,Ganganagar,BJP,0,Graduate,10861172,1611557,,,,,,,,
184,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),Garhwal,BJP,0,Graduate Professional,44357368,0,,,,,,,,
185,Smt. Bijoya Chakraborty,Guwahati,BJP,0,Post Graduate,12574493,0,,,,,,,,
186,Mahesh Sharma,Gautam Buddha Nagar,BJP,0,Graduate Professional,473797545,40905738,,,,,,,,
187,Hari Manjhi,Gaya,BJP,1,8th Pass,10184120,2000000,,,,,,,,
188,Deepak Adhikari (Dev),Ghatal,AITC,0,10th Pass,152447159,17493227,,,,,,,,
189,Vijay Kumar Singh,Ghaziabad,BJP,2,Doctorate,41137044,2026774,,,,,,,,
190,Manoj Sinha,Ghazipur,BJP,0,Graduate Professional,23376901,118700,,,,,,,,
191,Harinarayan Rajbhar,Ghosi,BJP,0,Literate,23403964,0,,,,,,,,
192,Ravindra Kumar Pandey,Giridih,BJP,0,Graduate,73376970,1970628,,,,,,,,
193,Nishikant Dubey,Godda,BJP,5,Post Graduate,155633719,0,,,,,,,,
194,Kirti Vardhan Singh,Gonda,BJP,0,Post Graduate,74738429,9275782,,,,,,,,
195,Janak Ram,Gopalganj,BJP,2,Post Graduate,10582664,1039000,,,,,,,,
196,Adityanath,Gorakhpur,BJP,3,Graduate,7217674,0,,,,,,,,
197,Mallikarjun Kharge,Gulbarga,INC,0,Graduate Professional,102220880,7410154,,,,,,,,
198,Jyotiraditya M. Scindia,Guna,INC,0,Post Graduate,330888751,795000,,,,,,,,
199,Jayadev Galla,Guntur,TDP,0,Graduate,6830581361,202334283,,,,,,,,
200,Vinod Khanna,Gurdaspur,BJP,0,Graduate,669343376,12695306,,,,,,,,
201,Inderjit Singh,Gurgaon,BJP,0,Graduate Professional,250698763,0,,,,,,,,
202,Narendra Singh Tomar,Gwalior,BJP,1,Graduate,11412622,4531444,,,,,,,,
203,Ram Vilas Paswan,Hajipur,LJP,2,Post Graduate,9642023,0,,,,,,,,
204,Anurag Singh Thakur,Hamirpur,BJP,10,Graduate,46535803,2074555,,,,,,,,
205,Kunwar Pushpendra Singh,Hamirpur,BJP,1,Post Graduate,71265181,2825539,,,,,,,,
206,Anshul Verma,Hardoi,BJP,0,Post Graduate,30385000,0,,,,,,,,
207,Ramesh Pokhariyal Nishank,Hardwar,BJP,1,Doctorate,17917274,1860684,,,,,,,,
208,H.D. Devegowda,Hassan,JD(S),0,Othe,42721242,8648283,,,,,,,,
209,Rajesh Kumar,Hathras,BJP,0,Graduate Professional,5651457,0,,,,,,,,
210,Raju Shetty,Hatkanangle,Swabhimani Paksha,12,10th Pass,9896221,1504152,,,,,,,,
211,Udasi Shivakumar Channabasappa,Haveri,BJP,0,Graduate,576693538,54423645,,,,,,,,
212,Jayant Sinha,Hazaribagh,BJP,0,Post Graduate,556754579,86380600,,,,,,,,
213,Kristappa Nimmala,Hindupur,TDP,2,Graduate,35793637,998480,,,,,,,,
214,Rajeev Shankarrao Satav,Hingoli,INC,0,Graduate Professional,49681499,584357,,,,,,,,
215,Dushyant Chautala,Hisar,INLD,0,Graduate,361326990,68744460,,,,,,,,
216,Ratna De,Hugli,AITC,0,Graduate Professional,18617758,0,,,,,,,,
217,Uday Pratap Singh,Hoshangabad,BJP,1,Graduate,133375092,3775714,,,,,,,,
218,Vijay Sampla,Hoshiarpur,BJP,0,10th Pass,15164322,4020543,,,,,,,,
219,Prasun Banerjee,Haora,AITC,0,Graduate,10041098,0,,,,,,,,
220,Asaduddin Owaisi,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,4,Graduate Professional,40611099,14000000,,,,,,,,
221,Adv.Joice George,Idukki,IND,4,Post Graduate,17396207,9417720,,,,,,,,
222,Sumitra Mahajan,Indore,BJP,0,Post Graduate,18732234,3539000,,,,,,,,
223,Dr. Thokchom Meinya,Inner Manipur,INC,0,Doctorate,3825200,0,,,,,,,,
224,Rakesh Singh Urf Ghanshyam Singh,Jabalpur,BJP,1,Graduate,26564889,0,,,,,,,,
225,Sugata Bose,Jadavpur,AITC,0,Doctorate,46315770,0,,,,,,,,
226,Kulamani Samal,Jagatsinghpur,BJD,0,Graduate Professional,25158570,0,,,,,,,,
227,Dr. Arun Kumar,Jahanabad,Rashtriya Lok Samta Party,1,Doctorate,38846631,1000000,,,,,,,,
228,Ramcharan Bohara,Jaipur,BJP,0,12th Pass,135809546,23871000,,,,,,,,
229,Rajyavardhan Singh Rathore,Jaipur Rural,BJP,0,Graduate,83734044,117065,,,,,,,,
230,Rita Tarai,Jajapur,BJD,0,12th Pass,1622003,0,,,,,,,,
231,Santokh Singh Chaudhary,Jalandhar,INC,0,Graduate Professional,104040531,6194323,,,,,,,,
232,Bhanu Pratap Singh,Jalaun,BJP,0,Post Graduate,5774068,650000,,,,,,,,
233,Patil Ashok Tapiram,Jalgaon,BJP,0,Graduate,226180395,0,,,,,,,,
234,Danve Raosaheb Dadarao,Jalna,BJP,4,Graduate,184411862,8534130,,,,,,,,
235,Devji Patel,Jalore,BJP,0,10th Pass,51846777,12780726,,,,,,,,
236,Bijoy Chandra Barman,Jalpaiguri,AITC,0,Post Graduate,9396430,797019,,,,,,,,
237,Jugal Kishore,Jammu,BJP,0,10th Pass,26824308,300000,,,,,,,,
238,Maadam Poonamben Hematbhai,Jamnagar,BJP,0,Graduate,174372249,62824615,,,,,,,,
239,Chirag Kumar Paswan,Jamui,LJP,0,12th Pass,10414470,4458954,,,,,,,,
240,Abhijit Mukherjee,Jangipur,INC,0,Graduate Professional,63014502,15160000,,,,,,,,
241,Smt. Kamla Patle,Janjgir-Champa,BJP,0,12th Pass,18224350,0,,,,,,,,
242,Krishna Pratap,Jaunpur,BJP,0,Doctorate,40656909,4673939,,,,,,,,
243,Pratima Mondal,Jaynagar,AITC,0,Post Graduate,10614252,0,,,,,,,,
244,Dushyant,Jhalawar - Baran,BJP,0,Post Graduate,239006838,2798782,,,,,,,,
245,Birendra Kumar Chaudhary,Jhanjharpur,BJP,0,Post Graduate,5158792,0,,,,,,,,
246,Uma Bharti,Jhansi,BJP,13,5th Pass,14376218,0,,,,,,,,
247,Uma Saren,Jhargram,AITC,0,Graduate Professional,499646,0,,,,,,,,
248,Santosh Ahlawat,Jhunjhunun,BJP,0,Post Graduate,35897048,5704000,,,,,,,,
249,Gajendrasingh Shekhawat,Jodhpur,BJP,0,Post Graduate,143491494,92198588,,,,,,,,
250,Kamakhya Prasad Tasa,Jorhat,BJP,0,Post Graduate,1694785,0,,,,,,,,
251,Chudasama Rajeshbhai Naranbhai,Junagadh,BJP,1,12th Pass,7446059,1110690,,,,,,,,
252,Chavda Vinod Lakhmashi,Kachchh,BJP,0,Graduate Professional,5618643,411255,,,,,,,,
253,Avinash Reddy Yeduguri Sandinti,Kadapa,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,70480623,5547296,,,,,,,,
254,Hukum Singh,Kairana,BJP,2,Graduate Professional,29078847,2941671,,,,,,,,
255,Brij Bhusan Sharan Singh,Kaisarganj,BJP,2,Graduate Professional,61696767,11556027,,,,,,,,
256,Thota Venkata Narasimham,Kakinada,TDP,0,Graduate,17495976,120000,,,,,,,,
257,Arka Keshari Deo,Kalahandi,BJD,0,Graduate,69822063,831688,,,,,,,,
258,Gourav Gogoi,Kaliabor,INC,0,Post Graduate,5473199,1042133,,,,,,,,
259,K. Kamaraj,Kallakurichi,AIADMK,0,Post Graduate,35459256,544099,,,,,,,,
260,Dr.Shrikant Eknath Shinde,Kalyan,SHS,0,Graduate Professional,998000,0,,,,,,,,
261,Maragatham K,Kancheepuram,AIADMK,0,12th Pass,18949050,4468600,,,,,,,,
262,Hemendra Chandra Singh,Kandhamal,BJD,2,Graduate,503907437,4786551,,,,,,,,
263,Shanta Kumar,Kangra,BJP,0,Graduate Professional,19852104,0,,,,,,,,
264,Vikram Usendi,Kanker,BJP,0,10th Pass,23376000,869000,,,,,,,,
265,Dimple Yadav,Kannauj,SP,0,Graduate,280516418,6917710,,,,,,,,
266,Radhakrishnan P.,Kanniyakumari,BJP,0,Graduate Professional,40963269,0,,,,,,,,
267,P K Sreemathi,Kannur,CPI(M),8,Othe,16939970,0,,,,,,,,
268,Dr.Murli Manohar Joshi,Kanpur,BJP,1,Doctorate,78410008,0,,,,,,,,
269,Sisir Kumar Adhikari,Kanthi,AITC,1,12th Pass,19498381,0,,,,,,,,
270,Upendra Kushwaha,Karakat,Rashtriya Lok Samta Party,4,Post Graduate,24829741,823834,,,,,,,,
271,Manoj Rajoria,Karauli - Dhaulpur,BJP,0,Post Graduate,28636113,3277324,,,,,,,,
272,Radheshyam Biswas,Karimganj,AIUDF,0,12th Pass,7068281,0,,,,,,,,
273,Vinod Kumar Boinapally,Karimnagar,T,0,Graduate Professional,97275990,0,,,,,,,,
